   3.9695203140   -0.6362917993    1.9560299349
   5.3039779678    1.2489535360    0.1373765869
   4.6374562821    2.0013009930    0.1373765869
   3.9695203140   -0.6362917993   -1.6812767610
   2.2171841064   -0.5019972864    2.2391024231
   1.6921841064    0.4073293876    1.9577557710
   2.2171841064   -0.5019972864   -1.9608975769
   2.0903499930   -1.8219921871    2.3318594261
   3.1403499930   -1.8219921871    2.0505127740
   2.6153499930   -2.7313188610    2.0505127740
   3.1403499930   -1.8219921871   -1.5867939219
   2.6153499930   -2.7313188610   -1.5867939219
   2.0903499930   -1.8219921871   -1.8681405739
   0.8509962938   -2.2459355483    2.3066840841
  -0.1990037062   -2.2459355483    2.0253374320
   0.3259962938   -3.1552622223    2.0253374320
   1.3759962938   -3.1552622223    2.0253374320
   0.5921749367   -4.0460776275    1.2566840841
   1.6064921980   -3.9002408221    1.2566840841
   0.1063260310   -4.2094696580    0.2066840841
   1.1041233223   -4.3306241840    0.2066840841
   2.0439322619   -3.9742016667    0.2066840841
   0.5921749367   -4.0460776275   -0.8433159159
   1.6064921980   -3.9002408221   -0.8433159159
   0.3259962938   -3.1552622223   -1.6119692639
   1.3759962938   -3.1552622223   -1.6119692639
   0.8509962938   -2.2459355483   -1.8933159159
   0.1286398122   -1.1164528137    2.1890988531
  -0.3963601878   -0.2071261397    1.9077522011
  -0.3963601878   -2.0257794877    1.9077522011
   1.1786398122   -1.1164528137   -1.7295544948
  -0.3963601878   -0.2071261397   -1.7295544948
  -0.3963601878   -2.0257794877   -1.7295544948
   0.1286398122   -1.1164528137   -2.0109011469
   0.9245936086   -0.0184590422    2.1437499433
   1.4495936086    0.8908676318    1.8624032913
  -0.1254063914   -0.0184590422    1.8624032913
  -0.1254063914   -0.0184590422   -1.7749034046
   1.4495936086   -0.9277857162   -1.7749034046
   0.9245936086   -0.0184590422   -2.0562500567
   0.4157063899    1.3150087353    2.0215636752
   1.4657063899    1.3150087353    1.7402170232
  -0.1092936101    2.2243354093    1.7402170232
   1.4657063899    1.3150087353   -1.8970896727
  -0.1092936101    2.2243354093   -1.8970896727
  -0.1092936101    0.4056820614   -1.8970896727
   0.4157063899    1.3150087353   -2.1784363248
   1.0766670318    2.3178515604    1.8377745010
